City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,cajuru,-21.2753,-47.3042,25.89,51,48,2.72,BR,1706476553
359,la vergne,36.0156,-86.5819,6.71,87,100,6.69,US,1706476500
360,fasa,28.9383,53.6482,1.58,51,0,0.0,IR,1706476553
361,villamontes,-21.25,-63.5,36.58,25,13,3.84,BO,1706476553
362,belmonte,-15.8631,-38.8828,25.69,86,100,3.17,BR,1706476554
363,rexburg,43.826,-111.7897,4.19,81,100,1.54,US,1706476554
364,alice springs,-23.7,133.8833,20.75,56,4,0.0,AU,1706476304
365,puerto quijarro,-17.7833,-57.7667,39.38,17,5,1.43,BO,1706476542
366,pisco,-13.7,-76.2167,29.03,58,0,7.2,PE,1706476554
367,barreirinhas,-2.7469,-42.8264,27.86,75,50,4.37,BR,1706476555
368,nova vicosa,-17.8919,-39.3719,24.8,92,100,5.51,BR,1706476555
369,hirara,24.8,125.2833,17.92,67,100,5.14,JP,1706476555
370,changsu,35.6484,127.5152,-4.94,87,22,0.58,KR,1706476555
371,woodward,36.4337,-99.3904,18.57,25,0,3.09,US,1706476555
372,greece,43.2098,-77.6931,1.44,96,100,5.14,US,1706476348
373,el granada,37.5027,-122.4694,21.55,60,0,2.06,US,1706476556
374,cotonou,6.3654,2.4183,28.99,48,0,2.06,BJ,1706476556
375,coracao de jesus,-16.6853,-44.365,22.2,94,98,2.88,BR,1706476556
376,princeville,45.7668,-61.2985,-0.75,88,100,3.09,CA,1706476557
377,tarko-sale,64.9225,77.785,-20.14,94,97,3.97,RU,1706476557
378,kudahuvadhoo,2.6708,72.8944,27.73,74,49,6.08,MV,1706476557
379,okulovka,58.4008,33.2908,-3.02,96,100,3.19,RU,1706476557
380,calvinia,-31.4707,19.776,21.66,39,29,1.25,ZA,1706476557
381,kutum,14.2,24.6667,14.43,24,56,3.67,SD,1706476558
382,wenchang,30.904,118.4887,3.97,63,88,1.42,CN,1706476558
383,luderitz,-26.6481,15.1594,18.31,83,64,1.65,NA,1706476558
384,greenwood,34.1668,-82.1165,13.2,54,20,7.2,US,1706476334
385,dudinka,69.4058,86.1778,-12.4,93,100,8.49,RU,1706476307
386,mount isa,-20.7333,139.5,25.87,89,100,2.06,AU,1706476559
387,manaure,11.7751,-72.4445,30.66,49,0,6.76,CO,1706476559
388,ponta delgada,37.7333,-25.6667,12.4,71,20,3.09,PT,1706476559
389,tabuk,17.4189,121.4443,18.94,88,99,0.67,PH,1706476559
390,katsuura,35.1333,140.3,5.95,62,4,5.98,JP,1706476559
391,alesund,62.4723,6.1549,14.51,44,0,14.92,NO,1706476560
392,anloga,5.7947,0.8973,27.61,69,5,4.49,GH,1706476560
393,miandrivazo,-19.5167,45.4667,24.86,82,4,0.87,MG,1706476560
394,lethem,3.3803,-59.7968,35.84,30,15,4.76,GY,1706476560
395,neryungri,56.6709,124.6491,-32.91,98,100,1.94,RU,1706476560
396,happy valley-goose bay,53.3168,-60.3315,-18.83,55,20,4.63,CA,1706476561
397,jayapura,-2.5333,140.7,25.66,89,94,1.42,ID,1706476561
398,aksu,41.1231,80.2644,-5.72,67,86,2.3,CN,1706476561
399,namibe,-15.1961,12.1522,23.67,77,44,3.69,AO,1706476562
400,kavaratti,10.5669,72.642,27.0,68,15,1.87,IN,1706476562
401,flin flon,54.7682,-101.865,-3.09,100,75,1.03,CA,1706476562
402,garden city,42.3256,-83.331,4.14,82,100,8.23,US,1706476417
403,ulladulla,-35.35,150.4667,18.2,76,2,1.97,AU,1706476563
404,borogontsy,62.6683,131.1683,-45.05,100,97,1.01,RU,1706476563
405,sefrou,33.8319,-4.828,8.53,71,0,4.63,MA,1706476563
406,umba,66.6871,34.3429,-1.74,92,100,4.44,RU,1706476564
407,buulobarde,3.8538,45.5674,25.43,78,100,7.59,SO,1706476564
408,vallenar,-28.5708,-70.7581,29.96,35,0,3.8,CL,1706476564
409,umm ruwaba,12.9061,31.2158,19.31,18,78,5.32,SD,1706476564
410,crane,31.3974,-102.3501,17.53,24,2,4.58,US,1706476565
411,bom jesus,-9.0744,-44.3586,22.83,96,100,0.59,BR,1706476565
412,tura,25.5198,90.2201,12.23,64,93,1.34,IN,1706476565
413,hami,42.8,93.45,-7.78,61,100,1.15,CN,1706476271
414,nogent-le-rotrou,48.3333,1.0,4.81,89,84,3.97,FR,1706476566
415,miles city,46.4083,-105.8406,7.54,65,0,2.57,US,1706476389
416,nishinoomote,30.7333,131.0,10.67,54,4,2.02,JP,1706476566
417,nassau,40.7507,-73.5829,4.27,89,100,6.69,US,1706476566
418,albertina,-22.2008,-46.6158,20.89,80,56,0.93,BR,1706476567
419,chui,-33.6971,-53.4616,23.47,67,74,5.16,UY,1706476567
420,sal rei,16.1833,-22.9167,22.83,76,2,6.71,CV,1706476567
421,urangan,-25.3,152.9,26.78,98,100,3.13,AU,1706476568
422,sumbe,-11.2061,13.8437,26.79,85,35,2.67,AO,1706476568
423,tobelo,1.7284,128.0095,25.44,84,22,1.4,ID,1706476568
424,nadym,65.5333,72.5167,-14.73,96,100,4.42,RU,1706476568
425,sakaiminato,35.55,133.2333,1.96,100,75,1.54,JP,1706476569
426,tezu,27.9167,96.1667,12.8,53,0,1.77,IN,1706476569
427,nagato,34.3833,131.2,5.13,68,31,1.86,JP,1706476569
428,sao gabriel da cachoeira,-0.1303,-67.0892,25.54,95,96,1.48,BR,1706476569
429,darlowo,54.421,16.4107,3.01,84,100,6.03,PL,1706476570
430,hailar,49.2,119.7,-37.58,100,12,1.57,CN,1706476570
431,alpinopolis,-20.8636,-46.3881,23.99,68,50,1.24,BR,1706476570
432,isabela,6.7085,121.9711,23.03,80,97,1.23,PH,1706476456
433,auki,-8.7676,160.7034,27.03,84,100,6.84,SB,1706476571
434,novoagansk,61.9449,76.6625,-17.9,97,100,1.55,RU,1706476571
435,santiago de cao,-7.9589,-79.2392,25.07,88,0,5.14,PE,1706476571
436,nalchiti,22.6333,90.2833,14.47,44,8,2.44,BD,1706476571
437,quang ngai,15.1167,108.8,20.31,93,100,1.34,VN,1706476572
438,faliraki,36.3398,28.1994,11.72,50,20,4.63,GR,1706476572
439,roswell,34.0232,-84.3616,8.57,80,100,9.26,US,1706476572
440,oranjemund,-28.55,16.4333,18.76,84,100,1.14,NA,1706476572
441,rampur,28.8167,79.0333,9.55,51,7,2.69,IN,1706476573
442,slave lake,55.2834,-114.769,7.99,53,0,12.35,CA,1706476573
443,saynshand,44.8824,110.1163,-25.45,97,27,2.01,MN,1706476573
444,sitka,57.0531,-135.33,10.94,66,100,8.75,US,1706476573
445,vila velha,-20.3297,-40.2925,26.08,96,100,4.12,BR,1706476574
446,kidal,18.4411,1.4078,19.63,14,0,5.1,ML,1706476574
447,tugulym,57.0591,64.6425,-10.96,100,99,1.72,RU,1706476574
448,ust-nera,64.5667,143.2,-40.28,100,81,2.92,RU,1706476574
449,magadan,59.5667,150.8,-22.99,72,56,2.38,RU,1706476575
450,ardestan,33.3761,52.3694,5.49,45,0,1.52,IR,1706476575
451,kone,-21.0595,164.8658,27.3,65,27,0.28,NC,1706476575
452,ash shihaniyah,25.3686,51.2264,19.79,66,97,3.5,QA,1706476575
453,saint john's,47.5649,-52.7093,-0.47,85,100,4.63,CA,1706476404
454,katsuren-haebaru,26.3369,127.8719,14.43,75,0,3.09,JP,1706476576
455,hood river,45.7054,-121.5215,16.58,64,0,0.0,US,1706476576
456,ketchikan,55.3422,-131.6461,11.99,66,100,7.2,US,1706476577
457,vorkuta,67.5,64.0,-12.34,91,100,4.28,RU,1706476577
458,benguela,-12.5763,13.4055,27.08,78,46,2.07,AO,1706476577
459,kingston,17.997,-76.7936,27.34,76,75,8.75,JM,1706476491
460,greymouth,-42.4667,171.2,17.4,66,4,1.89,NZ,1706476578
461,cuautepec de hinojosa,20.0333,-98.3,14.95,57,30,3.41,MX,1706476578
462,villanueva,15.3167,-88.0,30.55,58,20,5.66,HN,1706476444
463,vershino-darasunskiy,52.35,115.5167,-30.52,95,27,0.82,RU,1706476578
464,stanthorpe,-28.6667,151.95,21.35,98,100,4.53,AU,1706476578
465,dwarka,22.2394,68.9678,21.23,75,100,3.92,IN,1706476579
466,forster,-32.1667,152.5167,22.94,90,16,4.21,AU,1706476402
467,taoudenni,22.6783,-3.9836,21.64,14,20,5.23,ML,1706476579
468,inirida,3.8653,-67.9239,30.67,58,96,1.66,CO,1706476579
469,brookings,44.3114,-96.7984,6.0,61,0,3.6,US,1706476320
470,george town,5.4112,100.3354,26.96,65,20,3.09,MY,1706476463
471,usol'ye,59.4268,56.6808,-14.47,98,99,1.25,RU,1706476580
472,muscat,23.6139,58.5922,23.91,69,54,2.24,OM,1706476494
473,ancud,-41.8697,-73.8203,16.34,59,3,5.24,CL,1706476580
474,kapa'a,22.0752,-159.319,27.28,74,100,4.63,US,1706476581
475,kerikeri,-35.2268,173.9474,20.51,74,39,1.79,NZ,1706476581
476,sittwe,20.15,92.9,16.53,64,1,3.08,MM,1706476581
477,le port,-20.9373,55.2919,25.98,84,17,1.12,RE,1706476385
478,isola di capo rizzuto,38.96,17.0933,7.88,58,6,9.73,IT,1706476582
479,port alfred,-33.5906,26.891,18.99,89,82,4.46,ZA,1706476582
480,khanpur mahar,27.8436,69.4137,16.66,25,51,3.86,PK,1706476582
481,coyhaique,-45.5752,-72.0662,21.97,30,0,5.66,CL,1706476583
482,kolonia,50.9333,6.95,9.34,52,0,5.14,DE,1706476381
483,ndjole,-0.1783,10.7649,26.54,88,49,1.36,GA,1706476583
484,zhelezinka,53.54,75.3072,-21.51,100,97,2.93,KZ,1706476583
485,pacific grove,36.6177,-121.9166,24.67,49,0,2.06,US,1706476583
486,irkutsk,52.2978,104.2964,-26.24,76,20,3.13,RU,1706476584
487,simanggang,1.2472,111.4528,22.99,100,99,0.0,MY,1706476584
488,la foa,-21.7108,165.8276,26.7,63,25,1.09,NC,1706476584
489,valentin gomez farias,28.2167,-106.5833,15.99,23,18,3.58,MX,1706476584
490,madarounfa,13.3087,7.156,19.93,18,3,4.79,NE,1706476585
491,antigonish,45.6169,-61.9986,-0.48,86,100,0.45,CA,1706476363
492,zhoucun,36.8167,117.8167,0.5,50,22,1.12,CN,1706476585
493,yangambi,0.8102,24.4336,24.39,40,100,0.74,CD,1706476585
